,Date,Object,Weather_Summary
0,2012-03-31,<__main__.Weather object at 0x11c468940>,rain
1,2011-12-11,<__main__.Weather object at 0x10b18aa20>,partly-cloudy-day
2,2011-08-13,<__main__.Weather object at 0x11c490b00>,partly-cloudy-day
3,2011-11-27,<__main__.Weather object at 0x11bf46048>,partly-cloudy-day
4,2012-02-18,<__main__.Weather object at 0x11c4a2438>,partly-cloudy-day
5,2012-01-20,<__main__.Weather object at 0x11c067748>,rain
6,2012-02-04,<__main__.Weather object at 0x11c4a2278>,partly-cloudy-day
7,2012-04-21,<__main__.Weather object at 0x11c490e48>,partly-cloudy-day
8,2011-09-18,<__main__.Weather object at 0x11c468f28>,rain
9,2011-10-23,<__main__.Weather object at 0x10b1c13c8>,rain
10,2011-10-01,<__main__.Weather object at 0x11c490828>,Clear throughout the day.
11,2012-03-03,<__main__.Weather object at 0x11c4907f0>,Clear throughout the day.
12,2011-08-27,<__main__.Weather object at 0x11c6ead30>,rain
13,2012-03-17,<__main__.Weather object at 0x11c6ea400>,Clear throughout the day.
14,2011-11-06,<__main__.Weather object at 0x11c6eadd8>,rain
15,2012-05-05,<__main__.Weather object at 0x11c6ea278>,rain
16,2012-04-11,<__main__.Weather object at 0x11c6ea860>,partly-cloudy-day
17,2011-12-17,<__main__.Weather object at 0x11c6ee6d8>,rain
18,2012-02-03,<__main__.Weather object at 0x11c6ee5c0>,partly-cloudy-day
19,2011-10-29,<__main__.Weather object at 0x11c6ee9b0>,Foggy in the morning.
20,2012-01-22,<__main__.Weather object at 0x11c6ee470>,rain
21,2011-12-03,<__main__.Weather object at 0x11c6ea160>,rain
22,2012-04-14,<__main__.Weather object at 0x11c468ef0>,Partly cloudy throughout the day.
23,2012-03-25,<__main__.Weather object at 0x11c6ee908>,partly-cloudy-day
24,2012-03-10,<__main__.Weather object at 0x11c6ee3c8>,partly-cloudy-day
25,2012-04-07,<__main__.Weather object at 0x11c7c7160>,partly-cloudy-day
26,2011-11-19,<__main__.Weather object at 0x11c7c7358>,partly-cloudy-day
27,2011-10-14,<__main__.Weather object at 0x11c7c7080>,Partly cloudy throughout the day.
28,2011-09-24,<__main__.Weather object at 0x11c7c75f8>,Clear throughout the day.
29,2012-04-28,<__main__.Weather object at 0x11c7c71d0>,Clear throughout the day.
30,2011-12-18,<__main__.Weather object at 0x11c7c7a90>,rain
31,2012-03-02,<__main__.Weather object at 0x11c7c7fd0>,partly-cloudy-day
32,2012-03-16,<__main__.Weather object at 0x11c7c70b8>,Clear throughout the day.
33,2012-02-17,<__main__.Weather object at 0x11c7c7898>,rain
34,2011-08-06,<__main__.Weather object at 0x11c7c7e10>,rain
35,2011-11-04,<__main__.Weather object at 0x11c7c7908>,Foggy in the morning.
36,2011-09-16,<__main__.Weather object at 0x11c7c7278>,partly-cloudy-day
37,2011-07-15,<__main__.Weather object at 0x11c6ec780>,partly-cloudy-day
38,2012-05-06,<__main__.Weather object at 0x11c6ec588>,rain
39,2012-02-11,<__main__.Weather object at 0x11c6ec240>,partly-cloudy-day
40,2011-10-02,<__main__.Weather object at 0x11c6ec748>,Clear throughout the day.
41,2012-03-30,<__main__.Weather object at 0x11c6eef28>,partly-cloudy-day
42,2011-10-22,<__main__.Weather object at 0x11c6eecc0>,Clear throughout the day.
43,2011-08-26,<__main__.Weather object at 0x11c6f7668>,rain
44,2011-08-07,<__main__.Weather object at 0x11c6f7d68>,rain
45,2012-02-24,<__main__.Weather object at 0x11c6ee080>,rain
46,2011-07-17,<__main__.Weather object at 0x11c6ee978>,rain
47,2012-02-12,<__main__.Weather object at 0x11c6ee780>,partly-cloudy-day
48,2011-08-22,<__main__.Weather object at 0x11c6ee4e0>,partly-cloudy-day
49,2011-09-09,<__main__.Weather object at 0x11c6ee2b0>,rain
50,2012-04-01,<__main__.Weather object at 0x11c6f7c50>,partly-cloudy-day
51,2011-09-25,<__main__.Weather object at 0x11c6f7dd8>,Clear throughout the day.
52,2012-04-20,<__main__.Weather object at 0x11c6f7048>,Mostly cloudy throughout the day.
53,2011-11-25,<__main__.Weather object at 0x11c6ecb00>,rain
54,2012-03-09,<__main__.Weather object at 0x11c6ecbe0>,partly-cloudy-day
55,2011-11-07,<__main__.Weather object at 0x11c6eca20>,Clear throughout the day.
56,2011-09-10,<__main__.Weather object at 0x11c6eca58>,rain
57,2011-08-21,<__main__.Weather object at 0x11c6ece48>,Clear throughout the day.
58,2011-09-26,<__main__.Weather object at 0x11c6ecb70>,Clear throughout the day.
59,2012-03-26,<__main__.Weather object at 0x11c6ec6d8>,Foggy in the morning.
60,2011-10-30,<__main__.Weather object at 0x11c7d3780>,rain
61,2012-02-13,<__main__.Weather object at 0x11c7d31d0>,partly-cloudy-day
62,2012-02-26,<__main__.Weather object at 0x11c7d3278>,partly-cloudy-day
63,2011-12-19,<__main__.Weather object at 0x11c7d34e0>,partly-cloudy-day
64,2012-03-11,<__main__.Weather object at 0x11c7d3358>,partly-cloudy-day
65,2011-11-26,<__main__.Weather object at 0x11c7d3438>,rain
66,2012-04-23,<__main__.Weather object at 0x11c7d3518>,Partly cloudy throughout the day.
67,2011-12-16,<__main__.Weather object at 0x11c7d3748>,rain
68,2011-11-05,<__main__.Weather object at 0x11c7d39b0>,rain
69,2012-04-10,<__main__.Weather object at 0x11c7d3eb8>,partly-cloudy-day
70,2012-04-15,<__main__.Weather object at 0x11c7d3f28>,partly-cloudy-day
71,2012-02-05,<__main__.Weather object at 0x11c6ec1d0>,partly-cloudy-day
72,2012-03-04,<__main__.Weather object at 0x11c6ec390>,Clear throughout the day.
73,2011-09-17,<__main__.Weather object at 0x11c6ec128>,partly-cloudy-day
74,2012-01-21,<__main__.Weather object at 0x11c6ec3c8>,partly-cloudy-day
75,2012-03-18,<__main__.Weather object at 0x11c6ec6a0>,partly-cloudy-day
76,2012-04-22,<__main__.Weather object at 0x11c6ecba8>,partly-cloudy-day
77,2011-08-20,<__main__.Weather object at 0x11c6ecc50>,Partly cloudy throughout the day.
78,2012-02-10,<__main__.Weather object at 0x11c6eae10>,partly-cloudy-day
79,2012-02-25,<__main__.Weather object at 0x11c6eaeb8>,partly-cloudy-day
80,2011-12-10,<__main__.Weather object at 0x11c6eac50>,rain
81,2012-01-29,<__main__.Weather object at 0x11c6ee940>,Clear throughout the day.
82,2011-10-16,<__main__.Weather object at 0x11c6eee80>,rain
83,2011-08-05,<__main__.Weather object at 0x11c6eed68>,rain
84,2012-03-23,<__main__.Weather object at 0x11c6ee358>,clear-day
85,2011-09-23,<__main__.Weather object at 0x11c6eef98>,partly-cloudy-day
86,2012-01-28,<__main__.Weather object at 0x11c6f7d30>,partly-cloudy-day
87,2011-10-15,<__main__.Weather object at 0x11c7c7438>,Clear throughout the day.
88,2012-03-24,<__main__.Weather object at 0x11c7c7e48>,Clear throughout the day.
89,2011-11-18,<__main__.Weather object at 0x11c7c7940>,rain
90,2012-04-29,<__main__.Weather object at 0x11c7c7eb8>,Clear throughout the day.
91,2011-12-09,<__main__.Weather object at 0x11c7c72e8>,rain
92,2012-04-08,<__main__.Weather object at 0x11c7c7550>,Clear throughout the day.
93,2012-03-12,<__main__.Weather object at 0x11c7c7f60>,rain
94,2011-07-23,<__main__.Weather object at 0x11c7c7780>,rain
95,2011-10-28,<__main__.Weather object at 0x11c7c77b8>,partly-cloudy-day
96,2012-01-27,<__main__.Weather object at 0x11c7d3be0>,partly-cloudy-day
97,2011-12-04,<__main__.Weather object at 0x11c7d3cc0>,partly-cloudy-day
98,2011-09-11,<__main__.Weather object at 0x11c7d3630>,rain
99,2011-09-30,<__main__.Weather object at 0x11c7d3a20>,Clear throughout the day.
100,2012-02-19,<__main__.Weather object at 0x11c7d3d68>,rain
101,2012-04-13,<__main__.Weather object at 0x11c7d3668>,partly-cloudy-day
102,2011-10-21,<__main__.Weather object at 0x11c7d3898>,partly-cloudy-day
103,2011-08-14,<__main__.Weather object at 0x11c7d3dd8>,rain
104,2011-09-12,<__main__.Weather object at 0x11c6ecf60>,rain
105,2011-07-18,<__main__.Weather object at 0x11c6ec2b0>,rain
106,2011-08-08,<__main__.Weather object at 0x11c6ec2e8>,rain
107,2011-07-24,<__main__.Weather object at 0x11c6ecc88>,partly-cloudy-day
108,2011-12-13,<__main__.Weather object at 0x11c6ec630>,rain
109,2011-08-28,<__main__.Weather object at 0x11c6ec7b8>,partly-cloudy-day
